customerID,gender,SeniorCitizen,Age,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,SatisfactionScore,Churn
CUST-00001,Male,0,60,No,No,39,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Electronic Check,109.47,4265.57,0,4,No
CUST-00002,Female,0,60,Yes,Yes,50,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-Month,No,Electronic Check,86.01,4377.43,3,2,No
CUST-00003,Female,1,78,No,No,18,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One Year,No,Electronic Check,108.39,1881.93,1,2,No
CUST-00004,Female,0,19,Yes,No,7,No,No Phone Service,Fiber Optic,No,No,No,No,No,No,One Year,No,Electronic Check,52.23,356.76,2,5,No
CUST-00005,Male,0,51,Yes,Yes,63,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,Yes,Mailed Check,21.88,1390.31,4,2,No
CUST-00006,Male,0,25,Yes,No,34,No,No Phone Service,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,64.42,2150.64,4,3,No
CUST-00007,Male,0,30,No,No,58,Yes,No,DSL,No,No,No,No,No,No,Two Year,Yes,Mailed Check,52.02,3017.07,2,5,No
CUST-00008,Female,1,77,No,No,26,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Bank Transfer,41.4,1062.84,0,5,No
CUST-00009,Female,0,25,No,Yes,6,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One Year,Yes,Mailed Check,81.34,494.9,0,3,Yes
CUST-00010,Female,0,47,No,No,71,Yes,No,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Electronic Check,100.92,7156.11,4,3,No
CUST-00011,Male,0,49,Yes,No,19,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,Two Year,Yes,Electronic Check,80.34,1450.84,0,5,Yes
CUST-00012,Female,1,77,Yes,No,39,Yes,No,DSL,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,61.09,2418.17,3,4,Yes
CUST-00013,Female,1,68,Yes,Yes,32,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Bank Transfer,25.2,800.12,3,4,No
CUST-00014,Male,0,47,Yes,Yes,20,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Bank Transfer,26.02,512.16,1,5,No
CUST-00015,Male,0,18,Yes,No,8,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Transfer,84.02,644.88,2,3,Yes
CUST-00016,Male,1,82,Yes,No,10,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,18,174.97,2,4,No
CUST-00017,Male,0,56,Yes,No,57,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Two Year,Yes,Bank Transfer,95.32,5283.16,5,3,No
CUST-00018,Female,0,34,Yes,No,6,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer,75.51,472.78,6,3,No
CUST-00019,Male,1,82,Yes,No,41,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,35.9,1461.97,1,3,No
CUST-00020,Male,0,41,Yes,No,7,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Mailed Check,120,801.53,2,2,No
CUST-00021,Female,0,39,No,No,31,Yes,No,Fiber Optic,No,No,No,No,No,No,One Year,Yes,Mailed Check,64.45,1925.79,4,4,Yes
CUST-00022,Male,0,46,No,Yes,27,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,66.26,1713.71,2,2,Yes
CUST-00023,Male,1,79,No,No,1,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,No,Bank Transfer,86.41,87.18,0,4,No
CUST-00024,Male,1,82,Yes,Yes,50,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-Month,No,Electronic Check,79.58,3854.31,1,5,Yes
CUST-00025,Male,1,75,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-Month,Yes,Bank Transfer,60.58,,1,4,No
CUST-00026,Female,0,54,No,Yes,24,Yes,No,Fiber Optic,No,No,No,No,Yes,No,Two Year,Yes,Electronic Check,80.94,1917.32,2,3,No
CUST-00027,Male,1,79,Yes,Yes,43,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two Year,Yes,Electronic Check,81.07,3591.94,0,5,No
CUST-00028,Female,1,80,Yes,Yes,32,No,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Credit Card,18,565.66,1,5,No
CUST-00029,Female,0,54,Yes,No,51,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,31.2,1584.56,0,5,No
CUST-00030,Male,0,45,Yes,No,42,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Two Year,Yes,Electronic Check,91.71,3937.06,3,5,Yes
CUST-00031,Female,0,45,Yes,No,29,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Mailed Check,33.23,957.25,1,4,Yes
CUST-00032,Male,0,59,Yes,No,22,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Electronic Check,72.12,1633.16,1,5,No
CUST-00033,Male,0,60,No,No,21,No,No Phone Service,Fiber Optic,No,No,No,Yes,No,No,Two Year,Yes,Mailed Check,55.31,1180.29,1,3,Yes
CUST-00034,Female,0,38,Yes,Yes,30,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,One Year,No,Credit Card,88.98,2645.52,1,4,Yes
CUST-00035,Female,0,41,Yes,Yes,31,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,One Year,No,Credit Card,93.32,2894.07,3,4,No
CUST-00036,Female,0,59,No,No,14,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Transfer,74.94,1098.18,2,3,No
CUST-00037,Male,0,57,Yes,Yes,3,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Month-to-Month,No,Mailed Check,109.88,334.97,7,3,No
CUST-00038,Male,0,19,Yes,Yes,46,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-Month,No,Bank Transfer,73.71,3527.98,1,3,No
CUST-00039,Female,0,25,No,No,52,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,One Year,No,Electronic Check,85.39,4297.64,1,3,No
CUST-00040,Male,0,44,Yes,No,66,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,24.91,1641.3,2,4,No
CUST-00041,Male,0,39,Yes,Yes,27,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,77.68,2183.07,2,4,No
CUST-00042,Male,0,54,No,Yes,11,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,24.79,267.85,1,3,No
CUST-00043,Male,0,44,Yes,No,31,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,31.52,1022.82,2,5,Yes
CUST-00044,Female,0,46,No,Yes,50,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Electronic Check,120,5758.25,1,4,No
CUST-00045,Male,1,68,No,No,47,Yes,No,DSL,Yes,No,No,No,No,No,One Year,No,Electronic Check,53.26,2604.02,2,2,Yes
CUST-00046,Female,0,61,Yes,Yes,23,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,Two Year,Yes,Credit Card,106.88,2444.77,1,4,No
CUST-00047,Male,0,30,No,No,12,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Mailed Check,34.27,393.71,3,3,Yes
CUST-00048,Female,0,62,No,No,29,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-Month,Yes,Electronic Check,65.43,1969.48,0,3,No
CUST-00049,Female,1,81,Yes,No,25,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Mailed Check,91.9,2240.51,2,5,No
CUST-00050,Male,0,53,No,No,14,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Month-to-Month,Yes,Credit Card,84.83,1130.88,1,5,Yes
CUST-00051,Female,1,75,Yes,No,49,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Electronic Check,79.45,3751.27,4,2,Yes
CUST-00052,Female,0,44,No,No,61,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Credit Card,34.11,2113.82,1,5,No
CUST-00053,Female,1,71,Yes,No,39,No,No Phone Service,DSL,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,54.25,2216.84,3,3,No
CUST-00054,Female,0,18,Yes,No,28,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Credit Card,23.87,642.39,3,3,Yes
CUST-00055,Female,1,81,Yes,No,63,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Two Year,Yes,Mailed Check,76.02,4771.04,2,3,No
CUST-00056,Female,0,42,No,No,30,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Month-to-Month,No,Electronic Check,87.6,2544.07,3,3,Yes
CUST-00057,Male,0,46,Yes,No,51,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,No,Mailed Check,26.68,1394.02,0,5,No
CUST-00058,Male,0,24,Yes,Yes,20,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,Yes,One Year,Yes,Electronic Check,93.17,1792.23,2,3,No
CUST-00059,Male,0,20,Yes,Yes,9,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,No,Electronic Check,26.88,235.63,0,5,No
CUST-00060,Male,0,37,No,Yes,24,Yes,No,Fiber Optic,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Transfer,92.57,2154.23,3,4,Yes
CUST-00061,Male,1,65,No,No,19,Yes,No,Fiber Optic,No,Yes,No,No,No,No,One Year,No,Mailed Check,74.95,1431.53,3,4,No
CUST-00062,Male,1,74,No,No,2,No,No Phone Service,DSL,No,Yes,Yes,No,Yes,No,Month-to-Month,Yes,Credit Card,59.66,123.77,1,5,No
CUST-00063,Female,0,52,No,No,26,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Electronic Check,32.05,834.22,1,4,No
CUST-00064,Male,0,52,No,No,58,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Bank Transfer,18,997.88,0,3,Yes
CUST-00065,Male,0,56,Yes,No,13,Yes,No,Fiber Optic,No,No,No,No,No,Yes,One Year,Yes,Bank Transfer,78.35,1025.01,1,5,No
CUST-00066,Female,0,44,No,Yes,37,Yes,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Transfer,82.31,3136.08,2,3,Yes
CUST-00067,Male,0,43,No,No,51,Yes,No,DSL,No,Yes,Yes,No,No,No,Two Year,Yes,Credit Card,72.58,3565.42,0,3,No
CUST-00068,Female,0,31,No,No,61,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Transfer,67.77,3957.33,4,3,No
CUST-00069,Male,0,34,No,No,9,No,No Phone Service,DSL,Yes,No,No,No,No,Yes,One Year,Yes,Credit Card,51.8,451.65,0,4,No
CUST-00070,Female,0,35,Yes,Yes,70,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Electronic Check,76.18,5463.83,1,5,Yes
CUST-00071,Female,0,62,Yes,No,20,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,One Year,Yes,Mailed Check,23.45,473.3,2,3,No
CUST-00072,Male,0,46,No,No,56,No,No Phone Service,DSL,Yes,No,No,No,No,Yes,One Year,Yes,Electronic Check,44.68,2512.24,7,4,No
CUST-00073,Male,0,37,No,No,27,Yes,Yes,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Month-to-Month,Yes,Electronic Check,31.74,835.51,1,5,No
CUST-00074,Female,0,44,No,No,44,No,No Phone Service,DSL,Yes,No,No,Yes,No,Yes,One Year,No,Electronic Check,59.54,2575.81,1,2,No
CUST-00075,Female,1,72,No,Yes,5,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Electronic Check,92.22,482.58,1,5,No
CUST-00076,Female,0,21,No,No,28,No,No Phone Service,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Electronic Check,18,490.93,1,5,No
CUST-00077,Female,0,18,Yes,No,23,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Electronic Check,77.75,1860.07,2,4,Yes
CUST-00078,Male,0,18,No,No,24,Yes,No,No,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,No Internet Service,Two Year,No,Electronic Check,19.15,463.3,1,5,No
